Reference area,Measure,Unit of measure,Regime,Time Period,Observation Value,Regime Name
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2003,28.8,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2003,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2003,28.8,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2003,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2004,4.23,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2004,4.23,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2004,28.8,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2004,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2004,28.8,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2004,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2005,4.23,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2005,4.23,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2005,28.8,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2005,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2005,28.8,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2005,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2006,4.23,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2006,4.23,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2006,28.8,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2006,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2006,28.8,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2006,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2007,4.23,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2007,4.23,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2007,28.8,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2007,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2007,28.8,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2007,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2008,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2008,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2008,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2008,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2008,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2008,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2008,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2008,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2009,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2009,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2009,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2009,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2009,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2009,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2009,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2009,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2010,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2010,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2010,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2010,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2010,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2010,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2010,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2010,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2011,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2011,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2011,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2011,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2011,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2011,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2011,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2011,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2012,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2012,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2012,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2012,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2012,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2012,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2012,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2012,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2013,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2013,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2013,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2013,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2013,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2013,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2013,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2013,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2014,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2014,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2014,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2014,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2014,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2014,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2014,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2014,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2015,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2015,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2015,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2015,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2015,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2015,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2015,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2015,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2016,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2016,4.19,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2016,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2016,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2016,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2016,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2016,21.82,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2016,0.0,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2017,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2017,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2017,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2017,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2017,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2017,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2017,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2017,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2018,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2018,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2018,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2018,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2018,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2018,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2018,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2018,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2019,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2019,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2019,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2019,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2019,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2019,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2019,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2019,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2020,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2020,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2020,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2020,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2020,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2020,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2020,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2020,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2021,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2021,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2021,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2021,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2021,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2021,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2021,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2021,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2022,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2022,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2022,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2022,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2022,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2022,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2022,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2022,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 1,2023,-0.04,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Cost of capital,Percentage of investment,Regime 2,2023,4.15,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 1,2023,13.09,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Implicit subsidy,Percentage of investment,Regime 2,2023,-0.04,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 1,2023,-8.73,Reduced rate for high & new tech enterprises (HNTE) - CHN1
China (People's Republic of),Effective average tax rate,Percentage of taxable income,Regime 2,2023,13.09,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Implicit subsidy,Percentage of taxable income,Regime 2,2023,-8.73,Tech-based SMEs (TSMEs) - CHN2
China (People's Republic of),Cost of capital,Percentage of investment,Regime 1,2023,4.15,Reduced rate for high & new tech enterprises (HNTE) - CHN1
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2000,30.55,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2000,4.25,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2001,30.55,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2001,4.25,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2002,30.55,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2002,4.25,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2003,-11.19,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2003,-6.03,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2003,-1.77,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2003,-43.27,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2004,-9.09,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2004,-6.1,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2004,-1.83,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2004,-42.7,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2005,-5.91,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2005,-5.78,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2005,-1.51,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2005,-39.51,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2006,-2.04,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2006,-5.37,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2006,-1.1,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2006,-35.65,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2007,2.33,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2007,-4.16,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2007,0.08,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2007,-27.35,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2008,7.12,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2008,-3.41,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2008,0.82,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2008,-21.68,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2009,13.01,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2009,-2.61,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2009,1.62,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2009,-15.79,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2010,20.15,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2010,-1.52,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2010,2.71,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2010,-8.65,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2011,28.8,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2011,4.23,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2012,28.8,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2012,4.23,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2013,7.34,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2013,-3.54,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2013,0.7,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2013,-22.34,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of investment,Regime 1,2014,-2.72,Tax exemption on new software with high scientific content - COL
Colombia,Effective average tax rate,Percentage of taxable income,Regime 1,2014,13.41,Tax exemption on new software with high scientific content - COL
Colombia,Cost of capital,Percentage of investment,Regime 1,2014,1.53,Tax exemption on new software with high scientific content - COL
Colombia,Implicit subsidy,Percentage of taxable income,Regime 1,2014,-16.27,Tax exemption on new software with high scientific content - COL
